"created_at","id","full_text","retweet_count","favorite_count","images","possibly_sensitive","possibly_sensitive_appealable","name","screen_name","followers_count","verified","tweet_url","tweet_embedded"
"2022-01-28 20:07:35","1487155412646645761","#TidyTuesday week4: Board Games
I briefly and partially visualized the relationship between ratings and attributes of board games.

Code: https://t.co/IMLRhvNYyG https://t.co/nAospVm98V",2,0,"list(id = 1487155398352449536, id_str = ""1487155398352449536"", indices = list(list(start = 162, end = 185)), media_url = ""http://pbs.twimg.com/media/FKNv9JyaMAAlzwI.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKNv9JyaMAAlzwI.jpg"", url = ""https://t.co/nAospVm98V"", display_url = ""pic.twitter.com/nAospVm98V"", expanded_url = ""https://twitter.com/pat_macro/status/1487155412646645761/photo/1"", type = ""photo"", sizes = list(list(w = c(1889, 680, 150, 1200), h = c(1653, 595, 150, 1050), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"macro_pat","pat_macro",7,FALSE,"https://twitter.com/pat_macro/status/1487155412646645761","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr""><a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> week4: Board Games<br>I briefly and partially visualized the relationship between ratings and attributes of board games.<br><br>Code: <a href=""https://t.co/IMLRhvNYyG"">https://t.co/IMLRhvNYyG</a> <a href=""https://t.co/nAospVm98V"">pic.twitter.com/nAospVm98V</a></p>&mdash; macro_pat (@pat_macro) <a href=""https://twitter.com/pat_macro/status/1487155412646645761?ref_src=twsrc%5Etfw"">January 28, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-28 22:48:07","1487195815844229121","Had a go at this week's #TidyTuesday - using Pandemic, the most popular game from the BoardGameGeek dataset. It helped to open the door to previously unpopular game mechanics, especially co-operative/non-competitive games. #RStats #tidyverse https://t.co/F0C92HBUA0",6,12,"list(id = 1487190522997481472, id_str = ""1487190522997481472"", indices = list(list(start = 242, end = 265)), media_url = ""http://pbs.twimg.com/media/FKOP5rSXoAAJPVs.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKOP5rSXoAAJPVs.jpg"", url = ""https://t.co/F0C92HBUA0"", display_url = ""pic.twitter.com/F0C92HBUA0"", expanded_url = ""https://twitter.com/CookeComms/status/1487195815844229121/photo/1"", type = ""photo"", sizes = list(list(w = c(1889, 680, 150, 1200), h = c(1889, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Sam Cooke","CookeComms",147,FALSE,"https://twitter.com/CookeComms/status/1487195815844229121","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Had a go at this week&#39;s <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> - using Pandemic, the most popular game from the BoardGameGeek dataset. It helped to open the door to previously unpopular game mechanics, especially co-operative/non-competitive games. <a href=""https://twitter.com/hashtag/RStats?src=hash&amp;ref_src=twsrc%5Etfw"">#RStats</a> <a href=""https://twitter.com/hashtag/tidyverse?src=hash&amp;ref_src=twsrc%5Etfw"">#tidyverse</a> <a href=""https://t.co/F0C92HBUA0"">pic.twitter.com/F0C92HBUA0</a></p>&mdash; Sam Cooke (@CookeComms) <a href=""https://twitter.com/CookeComms/status/1487195815844229121?ref_src=twsrc%5Etfw"">January 28, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 03:11:24","1487262070777208835","Predict ratings for #TidyTuesday board games https://t.co/UlfEN7RjMm",2,0,"list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA)",NA,NA,"r-craft.org","R_Craft_Org",126,FALSE,"https://twitter.com/R_Craft_Org/status/1487262070777208835","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Predict ratings for <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> board games <a href=""https://t.co/UlfEN7RjMm"">https://t.co/UlfEN7RjMm</a></p>&mdash; r-craft.org (@R_Craft_Org) <a href=""https://twitter.com/R_Craft_Org/status/1487262070777208835?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 03:40:56","1487269504887541762","Dipped back into the #TidyTuesday archives and finished a plot of #starbucks drinks by caffeine content. Getting the cups to retain their shape was a puzzle! #rstats https://t.co/XQKS1yLa9G",4,11,"list(id = 1487268914673430528, id_str = ""1487268914673430530"", indices = list(list(start = 166, end = 189)), media_url = ""http://pbs.twimg.com/media/FKPXMrCXMAIjS_3.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKPXMrCXMAIjS_3.jpg"", url = ""https://t.co/XQKS1yLa9G"", display_url = ""pic.twitter.com/XQKS1yLa9G"", expanded_url = ""https://twitter.com/Hellville/status/1487269504887541762/photo/1"", type = ""photo"", sizes = list(list(w = c(1434, 476, 150, 840), h = c(2048, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Adrienne Heller","Hellville",127,FALSE,"https://twitter.com/Hellville/status/1487269504887541762","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Dipped back into the <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> archives and finished a plot of <a href=""https://twitter.com/hashtag/starbucks?src=hash&amp;ref_src=twsrc%5Etfw"">#starbucks</a> drinks by caffeine content. Getting the cups to retain their shape was a puzzle! <a href=""https://twitter.com/hashtag/rstats?src=hash&amp;ref_src=twsrc%5Etfw"">#rstats</a> <a href=""https://t.co/XQKS1yLa9G"">pic.twitter.com/XQKS1yLa9G</a></p>&mdash; Adrienne Heller (@Hellville) <a href=""https://twitter.com/Hellville/status/1487269504887541762?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 10:37:13","1487374266966462464","#MakingOf of this week's #TidyTuesday plot https://t.co/1nEZckTsmU https://t.co/cLX1UTuUu2",2,11,"list(id = 1487374154382950400, id_str = ""1487374154382950400"", indices = list(list(start = 67, end = 90)), media_url = ""http://pbs.twimg.com/ext_tw_video_thumb/1487374154382950400/pu/img/kwbYUOF3o5alvAZu.jpg"", media_url_https = ""https://pbs.twimg.com/ext_tw_video_thumb/1487374154382950400/pu/img/kwbYUOF3o5alvAZu.jpg"", url = ""https://t.co/cLX1UTuUu2"", display_url = ""pic.twitter.com/cLX1UTuUu2"", expanded_url = ""https://twitter.com/geokaramanis/status/1487374266966462464/video/1"", type = ""photo"", sizes = list(
    list(w = c(1080, 680, 150, 1080), h = c(1080, 680, 150, 1080), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Georgios Karamanis","geokaramanis",4939,FALSE,"https://twitter.com/geokaramanis/status/1487374266966462464","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr""><a href=""https://twitter.com/hashtag/MakingOf?src=hash&amp;ref_src=twsrc%5Etfw"">#MakingOf</a> of this week&#39;s <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> plot <a href=""https://t.co/1nEZckTsmU"">https://t.co/1nEZckTsmU</a> <a href=""https://t.co/cLX1UTuUu2"">pic.twitter.com/cLX1UTuUu2</a></p>&mdash; Georgios Karamanis (@geokaramanis) <a href=""https://twitter.com/geokaramanis/status/1487374266966462464?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 12:00:19","1487395178293956609","#TidyTuesday - Board games 🎲

This week I've been trying to figure out the most popular board games, and their features. I ended up with the following story, plus a few board games on my wish list.

[R code] https://t.co/nuVLkvLylt

#Rstats #DataViz #ggplot2 https://t.co/9l5wT3DXwI",33,203,"list(id = 1487395166843514880, id_str = ""1487395166843514881"", indices = list(list(start = 259, end = 282)), media_url = ""http://pbs.twimg.com/media/FKRKBhBXMAEgW2F.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKRKBhBXMAEgW2F.jpg"", url = ""https://t.co/9l5wT3DXwI"", display_url = ""pic.twitter.com/9l5wT3DXwI"", expanded_url = ""https://twitter.com/TamayoLeiva_J/status/1487395178293956609/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1366, 453, 150, 800), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Javier Tamayo-Leiva","TamayoLeiva_J",305,FALSE,"https://twitter.com/TamayoLeiva_J/status/1487395178293956609","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr""><a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> - Board games 🎲<br><br>This week I&#39;ve been trying to figure out the most popular board games, and their features. I ended up with the following story, plus a few board games on my wish list.<br><br>[R code] <a href=""https://t.co/nuVLkvLylt"">https://t.co/nuVLkvLylt</a><a href=""https://twitter.com/hashtag/Rstats?src=hash&amp;ref_src=twsrc%5Etfw"">#Rstats</a> <a href=""https://twitter.com/hashtag/DataViz?src=hash&amp;ref_src=twsrc%5Etfw"">#DataViz</a> <a href=""https://twitter.com/hashtag/ggplot2?src=hash&amp;ref_src=twsrc%5Etfw"">#ggplot2</a> <a href=""https://t.co/9l5wT3DXwI"">pic.twitter.com/9l5wT3DXwI</a></p>&mdash; Javier Tamayo-Leiva (@TamayoLeiva_J) <a href=""https://twitter.com/TamayoLeiva_J/status/1487395178293956609?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 15:27:20","1487447277098651655","In the 21st century, cooperation (in almost all areas of life and scales) is becoming more important. In this week's #TidyTuesday I looked at cooperative board games.

Do you have a favorite cooperative game? My favorites are The Mind and The Game.

Code: https://t.co/GzrLwFiIqI https://t.co/g5dPbw0wT2",3,25,"list(id = 1487444473386876928, id_str = ""1487444473386876934"", indices = list(list(start = 280, end = 303)), media_url = ""http://pbs.twimg.com/media/FKR23iNXwAYusp5.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKR23iNXwAYusp5.jpg"", url = ""https://t.co/g5dPbw0wT2"", display_url = ""pic.twitter.com/g5dPbw0wT2"", expanded_url = ""https://twitter.com/richard_vogg/status/1487447277098651655/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1195, 397, 150, 700), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Richard Vogg","richard_vogg",372,FALSE,"https://twitter.com/richard_vogg/status/1487447277098651655","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">In the 21st century, cooperation (in almost all areas of life and scales) is becoming more important. In this week&#39;s <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> I looked at cooperative board games.<br><br>Do you have a favorite cooperative game? My favorites are The Mind and The Game.<br><br>Code: <a href=""https://t.co/GzrLwFiIqI"">https://t.co/GzrLwFiIqI</a> <a href=""https://t.co/g5dPbw0wT2"">pic.twitter.com/g5dPbw0wT2</a></p>&mdash; Richard Vogg (@richard_vogg) <a href=""https://twitter.com/richard_vogg/status/1487447277098651655?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 16:31:02","1487463304842952704","#TidyTuesday",0,0,"list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA)",NA,NA,"Kayla","kaylarienne",26,FALSE,"https://twitter.com/kaylarienne/status/1487463304842952704","<blockquote class=""twitter-tweet""><p lang=""und"" dir=""ltr""><a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a></p>&mdash; Kayla (@kaylarienne) <a href=""https://twitter.com/kaylarienne/status/1487463304842952704?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 17:38:35","1487480305439199236","Here's a thread of the #TidyTuesday data viz I do on a weekly basis! (So if you, person reading this, need an intern with these skills this summer...check it out 👀)

These are coding exercises, not serious analysis/communication - the focus is on experimentation",2,1,"list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA)",NA,NA,"Justin Giles","justingiles0725",16,FALSE,"https://twitter.com/justingiles0725/status/1487480305439199236","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Here&#39;s a thread of the <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> data viz I do on a weekly basis! (So if you, person reading this, need an intern with these skills this summer...check it out 👀)<br><br>These are coding exercises, not serious analysis/communication - the focus is on experimentation</p>&mdash; Justin Giles (@justingiles0725) <a href=""https://twitter.com/justingiles0725/status/1487480305439199236?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 18:01:49","1487486152408014858","1/23/22

My first visualization was an excuse to learn the ggalluvial extension to ggplot2.

My code:
https://t.co/g908NhkNwz

I leaned heavily on this code from @LauraNavarroSol to help me learn:
https://t.co/IxaD6C9yQM

#TidyTuesday https://t.co/y6UXO8IweS",0,2,"list(id = 1487485337060397056, id_str = ""1487485337060397057"", indices = list(list(start = 235, end = 258)), media_url = ""http://pbs.twimg.com/media/FKScCHQWUAEhq6h.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKScCHQWUAEhq6h.jpg"", url = ""https://t.co/y6UXO8IweS"", display_url = ""pic.twitter.com/y6UXO8IweS"", expanded_url = ""https://twitter.com/justingiles0725/status/1487486152408014858/photo/1"", type = ""photo"", sizes = list(list(w = c(1302, 680, 150, 1200), h = c(1032, 539, 150, 951), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Justin Giles","justingiles0725",16,FALSE,"https://twitter.com/justingiles0725/status/1487486152408014858","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">1/23/22<br><br>My first visualization was an excuse to learn the ggalluvial extension to ggplot2.<br><br>My code:<a href=""https://t.co/g908NhkNwz"">https://t.co/g908NhkNwz</a><br><br>I leaned heavily on this code from <a href=""https://twitter.com/LauraNavarroSol?ref_src=twsrc%5Etfw"">@LauraNavarroSol</a> to help me learn:<a href=""https://t.co/IxaD6C9yQM"">https://t.co/IxaD6C9yQM</a><a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> <a href=""https://t.co/y6UXO8IweS"">pic.twitter.com/y6UXO8IweS</a></p>&mdash; Justin Giles (@justingiles0725) <a href=""https://twitter.com/justingiles0725/status/1487486152408014858?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 18:19:49","1487490680624754688","1/28/22

A higher percentage of board games created after 2020 described themselves with keywords like ""pandemic,"" ""health,"" ""quarantine,"" etc.
https://t.co/YBRJvkyQhD

(I'm not actually confident the effect I find is real here - but it's a neat idea and plot)

#TidyTuesday https://t.co/bD1WSz6wu6",0,2,"list(id = 1487490660680839168, id_str = ""1487490660680839168"", indices = list(list(start = 275, end = 298)), media_url = ""http://pbs.twimg.com/media/FKSg3_SXsAANx2z.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKSg3_SXsAANx2z.jpg"", url = ""https://t.co/bD1WSz6wu6"", display_url = ""pic.twitter.com/bD1WSz6wu6"", expanded_url = ""https://twitter.com/justingiles0725/status/1487490680624754688/photo/1"", type = ""photo"", sizes = list(list(w = c(1316, 680, 150, 1200), h = c(834, 431, 150, 760), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Justin Giles","justingiles0725",16,FALSE,"https://twitter.com/justingiles0725/status/1487490680624754688","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">1/28/22<br><br>A higher percentage of board games created after 2020 described themselves with keywords like &quot;pandemic,&quot; &quot;health,&quot; &quot;quarantine,&quot; etc.<a href=""https://t.co/YBRJvkyQhD"">https://t.co/YBRJvkyQhD</a><br><br>(I&#39;m not actually confident the effect I find is real here - but it&#39;s a neat idea and plot)<a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> <a href=""https://t.co/bD1WSz6wu6"">pic.twitter.com/bD1WSz6wu6</a></p>&mdash; Justin Giles (@justingiles0725) <a href=""https://twitter.com/justingiles0725/status/1487490680624754688?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 18:39:27","1487495621842026496","This week's #TidyTuesday is all about board games! 🎉 I decided to visualise pairwise similarity scores calculated from the categories of the top 50 games.  
@BoardGameGeek #dataviz #Rstats #r4ds 

Code: https://t.co/2mkRoAv2oo
Previous examples: https://t.co/PLlB0BlUm1 https://t.co/MtS4rNT0Gz",9,53,"list(id = 1487495252495712256, id_str = ""1487495252495712260"", indices = list(list(start = 270, end = 293)), media_url = ""http://pbs.twimg.com/media/FKSlDRIWQAQNaIk.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKSlDRIWQAQNaIk.jpg"", url = ""https://t.co/MtS4rNT0Gz"", display_url = ""pic.twitter.com/MtS4rNT0Gz"", expanded_url = ""https://twitter.com/CSHoggard/status/1487495621842026496/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1737, 577, 150, 1017), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Dr. Christian Hoggard","CSHoggard",2420,FALSE,"https://twitter.com/CSHoggard/status/1487495621842026496","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">This week&#39;s <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> is all about board games! 🎉 I decided to visualise pairwise similarity scores calculated from the categories of the top 50 games.  <a href=""https://twitter.com/BoardGameGeek?ref_src=twsrc%5Etfw"">@BoardGameGeek</a> <a href=""https://twitter.com/hashtag/dataviz?src=hash&amp;ref_src=twsrc%5Etfw"">#dataviz</a> <a href=""https://twitter.com/hashtag/Rstats?src=hash&amp;ref_src=twsrc%5Etfw"">#Rstats</a> <a href=""https://twitter.com/hashtag/r4ds?src=hash&amp;ref_src=twsrc%5Etfw"">#r4ds</a> <br><br>Code: <a href=""https://t.co/2mkRoAv2oo"">https://t.co/2mkRoAv2oo</a><br>Previous examples: <a href=""https://t.co/PLlB0BlUm1"">https://t.co/PLlB0BlUm1</a> <a href=""https://t.co/MtS4rNT0Gz"">pic.twitter.com/MtS4rNT0Gz</a></p>&mdash; Dr. Christian Hoggard (@CSHoggard) <a href=""https://twitter.com/CSHoggard/status/1487495621842026496?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 19:04:11","1487501848676347911","Another fun #TidyTuesday data set 🍫 The US only wants chocolate with 71-72% cocoa content while the UK was loving dark chocolate in 2013. Plot inspired by @leeolney3 using the dreamy Morgenstern palette from {MetBrewer}

📁: https://t.co/IGHJz4ZnC0
📝: https://t.co/SaIGBZEWLI https://t.co/JptuMDqyOB",9,40,"list(id = 1487500810531577856, id_str = ""1487500810531577861"", indices = list(list(start = 275, end = 298)), media_url = ""http://pbs.twimg.com/media/FKSqGybXIAUtc-6.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKSqGybXIAUtc-6.jpg"", url = ""https://t.co/JptuMDqyOB"", display_url = ""pic.twitter.com/JptuMDqyOB"", expanded_url = ""https://twitter.com/danni_scales/status/1487501848676347911/photo/1"", type = ""photo"", sizes = list(list(w = c(1365, 453, 150, 800), h = c(2048, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Danni Scales","danni_scales",196,FALSE,"https://twitter.com/danni_scales/status/1487501848676347911","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Another fun <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> data set 🍫 The US only wants chocolate with 71-72% cocoa content while the UK was loving dark chocolate in 2013. Plot inspired by <a href=""https://twitter.com/leeolney3?ref_src=twsrc%5Etfw"">@leeolney3</a> using the dreamy Morgenstern palette from {MetBrewer}<br><br>📁: <a href=""https://t.co/IGHJz4ZnC0"">https://t.co/IGHJz4ZnC0</a><br>📝: <a href=""https://t.co/SaIGBZEWLI"">https://t.co/SaIGBZEWLI</a> <a href=""https://t.co/JptuMDqyOB"">pic.twitter.com/JptuMDqyOB</a></p>&mdash; Danni Scales (@danni_scales) <a href=""https://twitter.com/danni_scales/status/1487501848676347911?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 19:42:16","1487511430664445953","When working on #tidyTuesday I looked at the boardgame category column and hoped that @juliasilge will use it in  another tidymodels screen cast. Turns out I didn't have to wait long. As always, I learned a lot 🤯 https://t.co/zOtRgKRJFc",2,0,"list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA)",NA,NA,"Albert Rapp","rappa753",216,FALSE,"https://twitter.com/rappa753/status/1487511430664445953","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">When working on <a href=""https://twitter.com/hashtag/tidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#tidyTuesday</a> I looked at the boardgame category column and hoped that <a href=""https://twitter.com/juliasilge?ref_src=twsrc%5Etfw"">@juliasilge</a> will use it in  another tidymodels screen cast. Turns out I didn&#39;t have to wait long. As always, I learned a lot 🤯 <a href=""https://t.co/zOtRgKRJFc"">https://t.co/zOtRgKRJFc</a></p>&mdash; Albert Rapp (@rappa753) <a href=""https://twitter.com/rappa753/status/1487511430664445953?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-29 19:58:50","1487515600138166274","We love board games! I investigated if there is a relationship between board game categories and max play time. #TidyTuesday 
Code:https://t.co/kcecPNxR3V https://t.co/5YlR59SWX5",2,1,"list(id = 1487515499776851968, id_str = ""1487515499776851971"", indices = list(list(start = 155, end = 178)), media_url = ""http://pbs.twimg.com/media/FKS3d0IWQAMjkB9.png"", media_url_https = ""https://pbs.twimg.com/media/FKS3d0IWQAMjkB9.png"", url = ""https://t.co/5YlR59SWX5"", display_url = ""pic.twitter.com/5YlR59SWX5"", expanded_url = ""https://twitter.com/n_agadi/status/1487515600138166274/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1420, 471, 150, 832), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Nicholas Agadi","n_agadi",55,FALSE,"https://twitter.com/n_agadi/status/1487515600138166274","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">We love board games! I investigated if there is a relationship between board game categories and max play time. <a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> <br>Code:<a href=""https://t.co/kcecPNxR3V"">https://t.co/kcecPNxR3V</a> <a href=""https://t.co/5YlR59SWX5"">pic.twitter.com/5YlR59SWX5</a></p>&mdash; Nicholas Agadi (@n_agadi) <a href=""https://twitter.com/n_agadi/status/1487515600138166274?ref_src=twsrc%5Etfw"">January 29, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
"2022-01-30 00:08:05","1487578325010763777","#TidyTuesday #MA388 @danielpballer https://t.co/Qfa7BGDsr6",2,3,"list(id = 1487578320904593408, id_str = ""1487578320904593412"", indices = list(list(start = 35, end = 58)), media_url = ""http://pbs.twimg.com/media/FKTwmfEXIAQEblT.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKTwmfEXIAQEblT.jpg"", url = ""https://t.co/Qfa7BGDsr6"", display_url = ""pic.twitter.com/Qfa7BGDsr6"", expanded_url = ""https://twitter.com/baeder_jessica/status/1487578325010763777/photo/1"", type = ""photo"", sizes = list(list(w = c(474, 474, 150, 474), h = c(328, 328, 150, 328), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)",NA,NA,"Jessica Baeder","baeder_jessica",0,FALSE,"https://twitter.com/baeder_jessica/status/1487578325010763777","<blockquote class=""twitter-tweet""><p lang=""und"" dir=""ltr""><a href=""https://twitter.com/hashtag/TidyTuesday?src=hash&amp;ref_src=twsrc%5Etfw"">#TidyTuesday</a> <a href=""https://twitter.com/hashtag/MA388?src=hash&amp;ref_src=twsrc%5Etfw"">#MA388</a> <a href=""https://twitter.com/danielpballer?ref_src=twsrc%5Etfw"">@danielpballer</a> <a href=""https://t.co/Qfa7BGDsr6"">pic.twitter.com/Qfa7BGDsr6</a></p>&mdash; Jessica Baeder (@baeder_jessica) <a href=""https://twitter.com/baeder_jessica/status/1487578325010763777?ref_src=twsrc%5Etfw"">January 30, 2022</a></blockquote>
<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
"
